ADMIN1_ID,ADMIN1_NAME
BTN.7_1,Monggar
BTN.8_1,Paro
BTN.9_1,Pema Gatshel
BTN.10_1,Punakha
BTN.11_1,Samdrup Jongkhar
BTN.12_1,Samtse
BTN.13_1,Sarpang
BTN.14_1,Thimphu
BTN.19_1,Trashi Yangtse
BTN.15_1,Trashigang
BTN.16_1,Trongsa
BTN.17_1,Tsirang
BTN.18_1,Wangdue Phodrang
BTN.20_1,Zhemgang
BWA.1_1,Central
BWA.2_1,Chobe
BWA.3_1,Francistown
BWA.4_1,Gaborone
BWA.5_1,Ghanzi
BWA.6_1,Jwaneng
BWA.7_1,Kgalagadi
BWA.8_1,Kgatleng
BWA.9_1,Kweneng
BWA.10_1,Lobatse
BWA.11_1,North-East
BWA.12_1,North-West
BWA.13_1,Selibe Phikwe
BWA.14_1,South-East
BWA.15_1,Southern
BWA.16_1,Sowa
CAF.1_1,Bamingui-Bangoran
CAF.2_1,Bangui
CAF.3_1,Basse-Kotto
CAF.4_1,Haut-Mbomou
CAF.5_1,Haute-Kotto
CAF.6_1,Kémo
CAF.7_1,Lobaye
CAF.8_1,Mambéré-Kadéï
CAF.9_1,Mbomou
CAF.10_1,Nana-Grébizi
CAF.11_1,Nana-Mambéré
CAF.12_1,Ombella-M'Poko
CAF.13_1,Ouaka
CAF.15_1,Ouham
CAF.14_1,Ouham-Pendé
CAF.16_1,Sangha-Mbaéré
CAF.17_1,Vakaga
CAN.1_1,Alberta
CAN.2_1,British Columbia
CAN.3_1,Manitoba
CAN.4_1,New Brunswick
CAN.5_1,Newfoundland and Labrador
CAN.6_1,Northwest Territories
CAN.7_1,Nova Scotia
CAN.8_1,Nunavut
CAN.9_1,Ontario
CAN.10_1,Prince Edward Island
CAN.11_1,Québec
CAN.12_1,Saskatchewan
CAN.13_1,Yukon
CHE.1_1,Aargau
CHE.2_1,Appenzell Ausserrhoden
CHE.3_1,Appenzell Innerrhoden
CHE.4_1,Basel-Landschaft
CHE.5_1,Basel-Stadt
CHE.6_1,Bern
CHE.7_1,Fribourg
CHE.8_1,Genève
CHE.9_1,Glarus
CHE.10_1,Graubünden
CHE.11_1,Jura
CHE.12_1,Lucerne
CHE.13_1,Neuchâtel
CHE.14_1,Nidwalden
CHE.15_1,Obwalden
CHE.16_1,Sankt Gallen
CHE.17_1,Schaffhausen
CHE.18_1,Schwyz
CHE.19_1,Solothurn
CHE.20_1,Thurgau
CHE.21_1,Ticino
CHE.22_1,Uri
CHE.23_1,Valais
CHE.24_1,Vaud
CHE.25_1,Zug
CHE.26_1,Zürich
CHL.2_1,Antofagasta
CHL.3_1,Araucanía
CHL.4_1,Arica y Parinacota
CHL.5_1,Atacama
CHL.1_1,Aysén del General Ibañez del Cam
CHL.6_1,Bío-Bío
CHL.7_1,Coquimbo
CHL.8_1,Libertador General Bernardo O'Hi
CHL.9_1,Los Lagos
CHL.10_1,Los Ríos
CHL.11_1,Magallanes y Antártica Chilena
CHL.12_1,Maule
